Date,Shrub,Subspecies,Ploidy,Sub.Cyto,Population,E,A,R,A.R,gsw,PhiPS2,Fv.Fm,WUE,WUEi,RWC,SLA,Kbm,Kbms,Kbml,Ypd,Ymd,Max.Height,LA.SA,long,lat,elev,mat,map,gsp,mtcm,mmin,mtwm,mmax,sday,fday,ffp,dd5,gsdd5,d100,dd0,mmindd0,smrpb,smrsprpb,sprp,smrp,winp,Distance
7.1.19,88,T,2,T2,WAT1,1.14476622,4.130754821,,,,,0.724,3.608382874,,0.601262019,137.5953757,30.06073747,94.77082937,0.01615491,-1.55,-2.915,129,58.66379334,-118.2278,46.7419,329,11.2,287,93,-0.1,-3.6,22.8,31.8,118,288,169,2741,2309,82,164,532,0.55,0.43,44,19,144,784.8387
7.1.19,89,T,4,T4,NM'T2,,,,,,,0.713,,,0.51455869,89.50406504,144.5636483,1746.368014,0.145565235,-1.81,-3.123,116,119.9715038,-107.1478,35.7572,1979,9.9,265,170,-2.3,-9.8,22.2,31.2,140,277,136,2516,1943,98,290,1270,2.86,3.32,28,93,54,1142.3759
7.1.19,90,T,2,T2,ORT3,0.633386727,1.364643289,,,,,0.775,2.154518289,,0.578927911,96.66666667,103.9338257,461.9061218,0.059486915,-1.7,-3.203,99,77.64835742,-119.3665,42.3263,1782,6.4,308,139,-2.8,-8.6,17.3,27.4,171,246,71,1512,858,128,436,1486,0.51,0.45,62,28,115,2002.6485
7.1.19,92,T,4,T4,AZ'T1,0.828130864,3.195573807,,,,,0.765,3.858778782,,0.574473358,147.5888889,20.37903037,398.9950358,0.015782261,-1.49,-2.886,124,252.8123402,-111.7729,35.9174,1898,10.2,288,154,-0.7,-8,22.1,31.4,139,279,138,2507,1947,96,219,1151,3.16,2.93,30,88,84,1020.5019
7.1.19,93,W,4,W4,ID'W3,0.854834336,2.733659324,,,,,0.757,3.197881986,,0.592798971,96.94413408,83.67140491,172.186153,0.047941812,-1.31,-2.405,96,35.91565416,-116.8531,43.4657,870,10,256,112,-2,-6.8,22.1,32.3,130,269,133,2471,1923,94,269,929,0.51,0.45,49,22,101,290.2145
7.1.19,95,T,4,T4,NM'T2,1.901623927,4.259509525,,,,,0.744,2.239932651,,0.597333856,99.86928105,,1813.635695,0.49329564,-1.05,-2.913,114,36.76569481,-107.1478,35.7572,1979,9.9,265,170,-2.3,-9.8,22.2,31.2,140,277,136,2516,1943,98,290,1270,2.86,3.32,28,93,54,1142.3759
7.1.19,99,T,4,T4,NM'T2,0.482193582,2.245795163,,,,,0.699,4.657455524,,0.656109726,91.54867257,46.96885957,36.65361558,0.018253383,-1.29,-3.153,69,20.08045036,-107.1478,35.7572,1979,9.9,265,170,-2.3,-9.8,22.2,31.2,140,277,136,2516,1943,98,290,1270,2.86,3.32,28,93,54,1142.3759
7.1.19,106,T,2,T2,IDT3,0.987347214,3.731750346,,,,,0.755,3.779572469,,0.571230599,110.6932515,14.44252748,43.78218445,0.015466601,-1.63,-2.943,130,28.30756612,-116.9641,43.3366,1358,7.7,362,149,-3.1,-8.2,19.8,29.7,157,258,102,1916,1294,114,398,1249,0.48,0.43,68,29,151,1234.6707
7.11.19,114,T,2,T2,NVT1,1.332174269,4.591744219,4.63586926,0.990481819,,,0.821601021,3.446804465,,0.51541675,123.3611111,86.22339567,413.539685,0.049051556,-1.813,-3.164,141,84.30714995,-117.8517,39.2922,1629,9.2,218,117,-1.8,-10,21.5,31.8,154,263,111,2226,1503,100,267,1319,0.75,0.67,46,31,68,1113.3069
7.11.19,116,T,2,T2,ORT2,1.175592698,6.488519129,5.474154315,1.185300734,0.034869599,0.287019357,0.828778894,5.519359844,186.0795465,0.596899225,128.4368421,19.63038187,41.07935595,0.013184613,-2.218,-3.091,136,31.15704293,-119.2076,45.7589,223,11.5,239,80,1,-3,22.8,31.6,109,289,176,2795,2377,76,118,483,0.57,0.45,38,17,121,938.0565
7.11.19,122,T,2,T2,ORT2,0.617942194,4.929715893,5.120215719,0.96279457,0.017454752,0.284659122,0.8100046,7.977632758,282.4282936,0.525333333,,14.52957097,23.00120416,0.005275804,-1.887,-2.843,116,43.59753157,-119.2076,45.7589,223,11.5,239,80,1,-3,22.8,31.6,109,289,176,2795,2377,76,118,483,0.57,0.45,38,17,121,938.0565
7.11.19,124,T,2,T2,COT1,0.744797124,6.23868482,5.115069614,1.219667627,0.025566521,0.222547902,0.839191773,8.376354608,244.0177459,0.693785067,107.0102041,49.59400982,,0.028487136,-1.563,-2.755,170,,-107.81,39.6127,1790,7.4,399,199,-6.1,-14,20.6,30.9,155,260,105,2031,1414,117,590,1812,1.05,0.96,69,66,127,1624.8098
7.11.19,127,W,4,W4,UT'W1,,1.764665971,4.03380472,0.437469361,,0.255251043,0.835255915,,,0.491556596,105.6106195,127.0225569,88.10044311,0.053901893,-1.678,-2.741,97,16.34459181,-109.4352,38.3279,1797,10,296,159,-4.9,-10.5,24.9,33.4,125,283,158,2747,2378,106,437,1166,1.56,1.48,46,68,76,976.235
7.11.19,133,T,4,T4,AZ'T1,1.194215261,5.297106726,5.566202995,0.951655326,0.033135444,0.247972095,0.826539211,4.435638112,159.8622527,0.507254362,77.79354839,95.73534788,135.9115888,0.06761171,-1.535,-2.481,98,20.1017826,-111.7729,35.9174,1898,10.2,288,154,-0.7,-8,22.1,31.4,139,279,138,2507,1947,96,219,1151,3.16,2.93,30,88,84,1020.5019
7.11.19,135,W,4,W4,WA'W1,1.134327335,2.955834899,5.332556728,0.554299757,0.030216956,0.126443822,0.803422914,2.605804168,97.8204070,0.621771571,134.3060109,84.92569002,160.0660434,0.062769205,-1.803,-3.087,107,25.50072805,-119.4727,46.7672,297,10.8,186,63,-1.2,-5.1,22.5,31.1,117,283,163,2694,2272,88,228,668,0.62,0.54,28,15,94,763.8687
7.11.19,136,W,4,W4,CO'W1,0.085882313,2.251428437,4.64798663,0.48438789,0.00312239,0.200849825,0.818726391,,,0.632063989,112.9565217,143.4257064,460.6084614,0.110043191,-2.537,-3.313,75,41.85706152,-107.81,39.6127,1790,7.4,399,199,-6.1,-14,20.6,30.9,155,260,105,2031,1414,117,590,1812,1.05,0.96,69,66,127,1624.8098
